Company,Symbol,Sector,Industry,Exchange,MarketCap
,FDC,Health Technology,Pharmaceuticals: Major,NSE,645460.578018
,HDFCAMC,Finance,Investment Managers,NSE,6842162.2
,BHARATFORG,Producer Manufacturing,Metal Fabrication,NSE,5765616.824371999
,MGL,Utilities,Gas Distributors,NSE,1185827.22489
,SULA,Process Industries,Agricultural Commodities/Milling,NSE,420732.150565
,SJVN,Utilities,Electric Utilities,NSE,3574148.7116625
,SOMANYCERA,Producer Manufacturing,Building Products,NSE,304625.019776
,IDFC,Finance,Investment Managers,NSE,2026380.288194
,CAMPUS,Consumer Non-Durables,Apparel/Footwear,NSE,854563.5309145
,FEDERALBNK,Finance,Regional Banks,NSE,3801009.227454
,ICIL,Process Industries,Textiles,NSE,609710.28569
,SHOPERSTOP,Retail Trade,Department Stores,NSE,759645.16307
,REDINGTON,Electronic Technology,Computer Peripherals,NSE,1382072.33216
,GREENPANEL,Non-Energy Minerals,Forest Products,NSE,525090.50539
,CARYSIL,Consumer Durables,Home Furnishings,NSE,220453.76053
,KANSAINER,Process Industries,Industrial Specialties,NSE,2693924.95035
,TEGA,Distribution Services,Wholesale Distributors,NSE,765529.65504
,CANFINHOME,Finance,Finance/Rental/Leasing,NSE,1035473.0530625
,DREAMFOLKS,Transportation,Other Transportation,NSE,286605.05436
,WELENT,Finance,Financial Conglomerates,NSE,451575.055125
,GLS,Health Technology,Pharmaceuticals: Major,NSE,805064.783626
,MAHLIFE,Finance,Real Estate Development,NSE,842169.4929525
,JBCHEPHARM,Health Technology,Pharmaceuticals: Major,NSE,2518924.94544
,ACC,Non-Energy Minerals,Construction Materials,NSE,4152445.8530875
,NATIONALUM,Non-Energy Minerals,Aluminum,NSE,2423435.6429465
,FLUOROCHEM,Process Industries,Chemicals: Specialty,NSE,4063626.125
,WHIRLPOOL,Consumer Durables,Electronics/Appliances,NSE,1734147.608355
,MMTC,Distribution Services,Wholesale Distributors,NSE,897000.0
,GABRIEL,Producer Manufacturing,Auto Parts: OEM,NSE,564664.32814
,EPIGRAL,,,,405965.818739
,GRSE,Producer Manufacturing,Trucks/Construction/Farm Machinery,NSE,1000325.34
,NFL,Process Industries,Chemicals: Agricultural,NSE,448879.236
,SBFC,,,,955656.812688
,TEJASNET,Electronic Technology,Telecommunications Equipment,NSE,1478312.050683
,BSE,Finance,Investment Banks/Brokers,NSE,3006979.686108
,RVNL,Industrial Services,Engineering & Construction,NSE,3785353.99155
,BIKAJI,Consumer Non-Durables,Food: Specialty/Candy,NSE,1365905.32
,APOLLOTYRE,Consumer Durables,Automotive Aftermarket,NSE,2883675.845313
,RAJESHEXPO,Consumer Durables,Other Consumer Specialties,NSE,1082275.3797145
,FACT,Process Industries,Chemicals: Agricultural,NSE,5214105.966492
,BANDHANBNK,Finance,Major Banks,NSE,3888730.398422
,INDIANB,Finance,Major Banks,NSE,5669371.396029
,PRUDENT,Finance,Investment Managers,NSE,498080.95372
,ALKEM,Health Technology,Pharmaceuticals: Major,NSE,6220488.69
,ABFRL,Retail Trade,Apparel/Footwear Retail,NSE,2123241.769653
,MHRIL,Consumer Services,Other Consumer Services,NSE,765343.12121
,DOLLAR,Consumer Non-Durables,Apparel/Footwear,NSE,262141.90664
,MARKSANS,Health Technology,Pharmaceuticals: Major,NSE,730247.673618
,SOUTHBANK,Finance,Major Banks,NSE,558761.851806
,GMMPFAUDLR,Producer Manufacturing,Industrial Machinery,NSE,724665.493656
,JWL,Producer Manufacturing,Trucks/Construction/Farm Machinery,NSE,1315010.5169375
,FORTIS,Health Services,Hospital/Nursing Management,NSE,3164784.556416
,JYOTHYLAB,Consumer Non-Durables,Household/Personal Care,NSE,1758562.196116
,EMIL,Retail Trade,Electronics/Appliance Stores,NSE,786426.469528
,ROSSARI,Process Industries,Chemicals: Specialty,NSE,441423.416764
,HIL,Non-Energy Minerals,Forest Products,NSE,212170.73426400003
,FCL,Process Industries,Industrial Specialties,NSE,400134.04146
,NHPC,Utilities,Electric Utilities,NSE,6489092.48403
,STLTECH,Technology Services,Information Technology Services,NSE,569844.917964
,LTTS,Industrial Services,Engineering & Construction,NSE,5555848.016604001
,JPPOWER,Utilities,Electric Utilities,NSE,956057.5063665
,RITES,Commercial Services,Miscellaneous Commercial Services,NSE,1207276.680288
,EIHOTEL,Consumer Services,Hotels/Resorts/Cruise lines,NSE,1560283.63409
,RAILTEL,Communications,Major Telecommunications,NSE,1084771.81566
