Company Name,Symbol,Sector,Industry,Exchange
,INFIBEAM,Commercial Services,Miscellaneous Commercial Services,NSE
,CHEMPLASTS,Process Industries,Chemicals: Major Diversified,NSE
,GSPL,Utilities,Gas Distributors,NSE
,DODLA,Consumer Non-Durables,Food: Meat/Fish/Dairy,NSE
,APTUS,Finance,Finance/Rental/Leasing,NSE
,KPIL,,,
,ATUL,Process Industries,Chemicals: Agricultural,NSE
,MEDANTA,Health Services,Hospital/Nursing Management,NSE
,PPLPHARMA,Health Technology,Pharmaceuticals: Major,NSE
,MAYURUNIQ,Process Industries,Textiles,NSE
,NAVNETEDUL,Producer Manufacturing,Office Equipment/Supplies,NSE
,PDSL,Consumer Non-Durables,Apparel/Footwear,NSE
,BOMDYEING,Process Industries,Textiles,NSE
,FINPIPE,Producer Manufacturing,Miscellaneous Manufacturing,NSE
,L&TFH,,,
,ASTRAMICRO,Electronic Technology,Telecommunications Equipment,NSE
,NH,Health Services,Hospital/Nursing Management,NSE
,TCI,Transportation,Trucking,NSE
,FINEORG,Process Industries,Chemicals: Major Diversified,NSE
,DEEPAKNTR,Process Industries,Chemicals: Specialty,NSE
,SUZLON,Producer Manufacturing,Electrical Products,NSE
,ANURAS,Health Technology,Pharmaceuticals: Major,NSE
,ESABINDIA,Producer Manufacturing,Electrical Products,NSE
,STARHEALTH,Finance,Life/Health Insurance,NSE
,IRFC,Finance,Finance/Rental/Leasing,NSE
,TDPOWERSYS,Producer Manufacturing,Electrical Products,NSE
,KPRMILL,Consumer Non-Durables,Apparel/Footwear,NSE
,INGERRAND,Producer Manufacturing,Trucks/Construction/Farm Machinery,NSE
,JKLAKSHMI,Non-Energy Minerals,Construction Materials,NSE
,TVSHLTD,,,
,KIMS,Health Services,Hospital/Nursing Management,NSE
,CREDITACC,Finance,Finance/Rental/Leasing,NSE
,TEAMLEASE,Commercial Services,Personnel Services,NSE
,NEOGEN,Process Industries,Chemicals: Specialty,NSE
,AGI,Process Industries,Containers/Packaging,NSE
,RAMCOCEM,Non-Energy Minerals,Construction Materials,NSE
,WONDERLA,Consumer Services,Movies/Entertainment,NSE
,TI,Consumer Non-Durables,Beverages: Alcoholic,NSE
,TCIEXP,Transportation,Air Freight/Couriers,NSE
,SAPPHIRE,Consumer Services,Restaurants,NSE
,GOCOLORS,Consumer Non-Durables,Apparel/Footwear,NSE
,RAMKY,Industrial Services,Engineering & Construction,NSE
,NAM-INDIA,,,
,TIMETECHNO,Process Industries,Containers/Packaging,NSE
,MANINFRA,Finance,Real Estate Development,NSE
,LLOYDSENGG,,,
,SARDAEN,Non-Energy Minerals,Steel,NSE
,FINOPB,Finance,Regional Banks,NSE
,SONATSOFTW,Technology Services,Information Technology Services,NSE
,IBULHSGFIN,Finance,Finance/Rental/Leasing,NSE
,EPL,Process Industries,Containers/Packaging,NSE
,SUMICHEM,Process Industries,Chemicals: Agricultural,NSE
,GRINFRA,Industrial Services,Engineering & Construction,NSE
,BRIGADE,Finance,Real Estate Development,NSE
,METROPOLIS,Health Services,Medical/Nursing Services,NSE
,GLAXO,Health Technology,Pharmaceuticals: Major,NSE
,HCC,Industrial Services,Engineering & Construction,NSE
,SFL,Process Industries,Industrial Specialties,NSE
,CENTRALBK,Finance,Major Banks,NSE
,KARURVYSYA,Finance,Regional Banks,NSE
,GPIL,Non-Energy Minerals,Steel,NSE
,IFBIND,Consumer Durables,Electronics/Appliances,NSE
,ALLCARGO,Transportation,Marine Shipping,NSE
,TRITURBINE,Producer Manufacturing,Industrial Machinery,NSE
,CARBORUNIV,Process Industries,Industrial Specialties,NSE
,BEML,Producer Manufacturing,Trucks/Construction/Farm Machinery,NSE
,PARADEEP,Process Industries,Chemicals: Agricultural,NSE
,GREENLAM,Non-Energy Minerals,Forest Products,NSE
,LAXMIMACH,Producer Manufacturing,Industrial Machinery,NSE
,KSB,Producer Manufacturing,Industrial Machinery,NSE
,RATEGAIN,Technology Services,Packaged Software,NSE
,KAJARIACER,Producer Manufacturing,Building Products,NSE
