Symbol,Market Cap
JPPOWER,956057.5063664999
RITES,1207276.680288
EIHOTEL,1560283.63409
RAILTEL,1084771.81566
GARFIBRES,685929.16854
GAEL,841775.328765
JUBLPHARMA,868798.9726755001
GALAXYSURF,984135.27864
M&M,21505587.603313997
RCF,879942.5195
CHAMBLFERT,1554120.119368
ORIENTCEM,514425.45636
STARCEMENT,727524.750708
TATVA,374693.93699
TANLA,1471864.85749
SAIL,5107394.519848499
VIJAYA,691299.473723
QUESS,776467.37444
BIOCON,2997297.9
ETHOSLTD,511335.2531625
SYMPHONY,612823.32
NIACL,3466568
WESTLIFE,1273764.5638025
TCNSBRANDS,237356.99709
PARAS,280371.43852900004
NAZARA,566880.359118
SPLPETRO,1052279.349832
KIRLPNU,390087.07176
LODHA,9871487.5541755
CUB,1103552.97271
IDBI,7247119.06595
GHCL,555353.41666
INOXWIND,1628927.60876
TTML,1791691.2617954998
LAOPALA,412476
RKFORGE,1311892.731003
SHAREINDIA,609200.06628
NEULANDLAB,678880.746546
SONACOMS,3779617.46545
GRAPHITE,1074956.518188
ACCELYA,211303.61384650003
SKFINDIA,2274195.735963
CRISIL,3170754.2648375
GILLETTE,2112418.1550675
CIEINDIA,1785658.708539
HNDFDS,631810.03476
MOLDTKPAC,303914.983464
ELGIEQUIP,1725728.046628
INDIAGLYCO,237768.83925
BAJAJHIND,355106.063876
IPCALAB,2824108.502667
SANOFI,1858006.9451610001
HINDCOPPER,2646261.23073
LUPIN,6023238.655111
CROMPTON,1990365.773105
VARROC,846742.2288
IGL,2928453.3468
LICHSGFIN,2948887.743
LTFOODS,705617.982208
HEG,736537.338751
YESBANK,6168929.93574
RHIM,1662852.732865
TIMKEN,2446075.620313
NAVINFLUOR,1909454.80128
DELTACORP,390811.9160715
SANSERA,546012.5091
KFINTECH,822489.718947
RBLBANK,1683123.977766
OPTIEMUS,266500.72086400003
GNFC,1169914.8890325
PRESTIGE,4725758.039005999
AARTIDRUGS,449746.02
DBCORP,475996.835259
SOLARINDS,6087718.450125
RENUKA,1003582.9279695
ACLGATI,161689.65388549998
DALMIASUG,333996.0338295
TMB,798803.909703
ASTERDM,2047004.51988
GICRE,5404429.2
BARBEQUE,261050.04891450002
ZENSARTECH,1383254.1015479998
SUNDRMFAST,2624293.21293
TATAMTRDVR,
RALLIS,485880.521665
CONCORDBIO,1539741.2904720001
NUVOCO,1366122.285225
VINATIORGA,1791953.650725
MOTILALOFS,1843042.148636
CENTURYPLY,1715064.396305
GRANULES,982683.959022
VSTTILLERS,326427.286424
ELECTCAST,658228.008429
JAMNAAUTO,445495.215545
IEX,1498043.7948
SEQUENT,283730.6005625
AUBANK,5264624.100652
DHANI,234054.535532
HFCL,1202312.321298
CHOLAHLDNG,1952979.493531
MRF,5495641.2908275
HOMEFIRST,821762.268234
SCHNEIDER,978413.71122
NETWORK18,914509.5313464999
COROMANDEL,3684776.6057284996
SSWL,406760.8104
VRLLOG,680642.4572275
KRBL,858565.984892
SUBEXLTD,190799.9964325
PEL,2092517.7018
HCG,509065.793985
SUNTV,2806670.66364
HGS,460364.74036
COFORGE,3869387.155128
ABCAPITAL,4325673.687295999
ANANDRATHI,1082617.305179
ZYDUSWELL,1069719.972784
NOCIL,455859.3260275
IOLCP,271982.590766
KNRCON,721226.1317
HGINFRA,552357.7512805001
CAMLINFINE,227403.62790599998
RAYMOND,1147165.2457265
IIFL,2280873.4456725
UFLEX,348709.265894
VENKEYS,274900.25519
DCMSHRIRAM,1603710.572064
CMSINFO,598810.795224
PRICOLLTD,462966.87015300005
JKCEMENT,2927114.5185075
MINDACORP,923444.29065
EVEREADY,251606.95049
UNICHEMLAB,285776.93925
SUNDARMFIN,3897856.72038
NLCINDIA,3514430.4855104997
INDIACEM,802323.8533889999
ASHOKA,390907.0796725
AEGISCHEM,1235169
TIIL,582515.037503
PATANJALI,5701418.93475
NRBBEARING,325514.5521
ACI,801710.107593
UNOMINDA,3941110.7999009998
BBTC,1098419.0217
HBLPOWER,1209678.744344
DALBHARAT,4267083.655008
JBMA,1731374.521386
SWANENERGY,1348615.87
RAJRATAN,396216.884
AHLUCONT,519488.5278
NCC,1046934.18549
360ONE,2543842.9356279997
JKTYRE,980737.59504
TATAMETALI,339173.9275
JKIL,436816.966138
RBA,554802.342666
LALPATHLAB,2151808.591004
SIYSIL,242525.805404
HUDCO,2521393.05
JSL,4710869.277948
HEIDELBERG,527328.720932
CENTURYTEX,1365535.53584
HATHWAY,375262.154
HARSHA,357894.376755
GMDCLTD,1294260
OBEROIRLTY,5248052.8877395
ITI,2926381.169679
BECTORFOOD,657579.35932
DCBBANK,414644.29791150003
SHARDACROP,408518.40136
GODREJAGRO,1071479.450219
FIVESTAR,2147564.427855
CARTRADE,334374.280929
GRINDWELL,2578779.52
SUDARSCHEM,380057.6025
TATACOMM,5045355
AMIORG,413799.90564
FINCABLES,1635151.0070675
NATCOPHARM,1474211.4775110001
TECHNOE,860790.7234715
UBL,4720028.517373499
DATAMATICS,427336.687275
PRIVISCL,459475.079325
KIRLOSBROS,705190.967343
MTARTECH,679264.048053
CEATLTD,981723.73284
JUBLINGREA,810103.8729539999
CERA,1020609.950402
JTLIND,406021.50904
KTKBANK,811563.5137814999
MSUMI,2730034.14801
DWARKESH,163633.97743
GUJALKALI,570485.917235
BLUESTARCO,1947172.04236
APCOTEXIND,264253.76112
BATAINDIA,2122503.79556
ZFCVINDIA,3036122.2032959997
BSOFT,1988287.775133
ROUTE,1001028.507036
ISGEC,721618.61114
TATAELXSI,5451337.03718
CIGNITITEC,291291.89628
JUSTDIAL,682097.880954
UNIPARTS,260850.554361
EMAMILTD,2460768.75
VGUARD,1267855.779501
PAYTM,4033980.9551765
MAPMYINDIA,1051346.9285880001
ASAHIINDIA,1401656.542146
JUBLFOOD,3728455.3026
COSMOFIRST,160097.084973
DBL,562488.993437
HLEGLAS,368565.32652
ASHOKLEY,5330539.069577999
SUPRAJIT,562803.8538775
TTKPRESTIG,1027545.73026
LINDEINDIA,4810200.745646
MEDPLUS,896036.296155
IONEXCHANG,824559.56898
AMBER,1056433.241774
MOIL,628769.30199
OFSS,3649032.445616
NAVA,635903.546035
MCX,
MIDHANI,783362.21
BALMLAWRIE,374241.91697099997
PGHL,821295.922905
PRINCEPIPE,821192.4142725
MAZDOCK,4600347.21
JINDWORLD,608378.8936
BALRAMCHIN,828079.7761025
LXCHEM,799298.326549
FSL,1288387.541861
PFIZER,1952947.805214
POONAWALLA,3348032.6443795003
CGCL,1587287.6236245001
KRSNAA,227965.72678
GODREJPROP,5597911.051673001
VESUVIUS,728913.41712
BDL,3138416.484375
CAPLIPOINT,1029870.4268789999
ROLEXRINGS,686333.9290240001
POLYMED,1429474.751458
GREAVESCOT,352523.95289550006
JTEKTINDIA,388112.7445375
SCHAEFFLER,5006406.5501
GLOBUSSPR,251563.20976599999
DEEPAKFERT,857659.78305
POLYCAB,8236220.5161075
RECLTD,10871265.284
LUXIND,390931.853
ITDCEM,490711.233696
SYRMA,1191595.89351
BLUEDART,1746957.276783
PAGEIND,4295663.608935
NMDC,6144015.164525
MAHSEAMLES,1239962.0783819999
ORIENTELEC,484233.9077805
RELINFRA,831083.245012
EMUDHRA,352496.755065
RAINBOW,1210965.8767535
UJJIVANSFB,1113272.883926
AUROPHARMA,6351574.52156
JCHAC,303504.647208
EASEMYTRIP,715018.389363
JAICORPLTD,693186.733145
BANKINDIA,5126304.017116
APOLLOPIPE,269417.875203
SUNFLAG,377289.41438800003
GODREJIND,2506488.913446
CCL,856367.235
CESC,1756380.81975
KIRIINDUS,206403.828202
TVSSCS,870856.1070719999
CDSL,1906498
IKIO,246023.1116335
LANDMARK,342989.289918
POWERMECH,677466.000903
DIXON,3927782.9826625
HERITGFOOD,281450.268
CHOICEIN,458003.98
MAITHANALL,346631.22585
ERIS,1237811.5568
HINDZINC,13438627.0795
KKCL,472048.9171
PVRINOX,1628074.640613
JKPAPER,689128.735392
CONFIPET,255263.163008
TIRUMALCHM,224793.11746
ESCORTS,3296273.6238909997
MAHLOG,279392.2116535
PTC,562563.8140605
HONAUT,3257835.97981
FIEMIND,276060.333825
SUPRIYA,253319.613
EQUITASBNK,1190616.18614
GUFICBIO,317328.167737
LGBBROSLTD,394995.07432
EIDPARRY,988595.464279
INDIAMART,1632572.429412
PERSISTENT,5684295.95
